EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-49,CCOC,1.087852230841909,8.371036829,-7.753610617,2.4138
ep-121,COC(C)C,0.9693944675771321,8.225183833,-7.700004199,4.5085
ep-223,CCOCC,0.8789489795203809,8.409132761,-7.640955504,27.9747
ep-159,CCCOC,1.0037633386839728,8.430629752,-7.780821997,4.2528
ep-283,COCOC,0.7243662350734437,7.887490607,-8.064908804,2.233
ep-371,C1CCOC1,1.1681603230142346,8.039057993,-7.662724608,1.0116
ep-399,C1COCO1,1.4431197046264876,7.517960066,-8.214571394,1.9911
ep-431,COC(C)(C)C,0.936820797923145,7.938375887,-7.600682662,3.7317
ep-549,CCOC(C)C,1.0394478255422397,8.371853171,-7.700004199,1.527
ep-508,CCC(C)OC,2.0683341235823565,8.202870501,-7.739188586,1.4419
ep-896,COC(C)OC,0.6512195694254181,7.956335398,-8.000417834,1.8349
ep-800,CCCOCC,0.9637840151014878,8.512808119,-7.686126395,4.6508
ep-1071,CCOCOC,0.6735894827796072,7.832523619,-7.980009299,4.1721
ep-464,COCC(C)C,1.12093101731961,8.420289427,-7.823543864,1.4768
ep-736,CCCCOC,1.0583602935195717,8.350084067,-7.765583624,1.6069
ep-1007,COCCOC,0.3807592964780253,8.426003817,-7.789257525,6.2072
ep-1529,CC1CCCO1,1.0617157581890286,8.052119456,-7.590614451,1.4146
ep-1573,CC1COCO1,1.0659628365579574,7.60558071,-8.097834574,4.8294
ep-1827,CC1OCCO1,1.2440586760484655,7.794155573,-8.131304572,1.4402
ep-1361,CC1CCOC1,0.885839619490796,7.954702715,-7.602315344,8.3931
ep-1739,C1CCOCC1,0.9005373169984433,8.180012942,-7.592791361,8.3513
ep-1879,C1COCCO1,1.4141815936744928,7.991982306,-8.086950022,1.0691
ep-1779,C1COCOC1,0.9610621745038918,7.822455409,-8.064908804,51.3245
ep-1929,C1OCOCO1,1.2075626952961205,7.676330298,-8.734308752,1.7915
ep-2162,CCOC(C)(C)C,0.9021619263985391,7.980009299,-7.53755226,4.381
ep-2121,CCC(C)(C)OC,0.9445784031393488,7.959600764,-7.585988516,3.3757
ep-2567,COC(C)(C)OC,1.1541569896008623,8.058922301,-7.939192229,1.6696
ep-2942,CC(C)OC(C)C,0.8993277272949962,8.445596011,-7.550341609,4.5526
ep-2743,CCOC(C)CC,0.9912963439575782,8.239877978,-7.643404528,1.2965
ep-2947,CCCOC(C)C,0.9299633296110681,8.295933421,-7.595512499,4.2501
ep-2957,COCOC(C)C,1.5349226427196028,7.643948756,-7.951981577,1.4508
ep-2234,COC(C)C(C)C,0.9562942649294983,8.253483668,-7.679051436,3.8297
ep-2681,CCC(CC)OC,1.0773864625631067,8.157427496,-7.729392489,1.2875
ep-2737,CCCC(C)OC,1.0010884790949721,8.223279036,-7.686398509,2.864
ep-2826,COCC(C)OC,0.8780079511218865,8.258109602,-7.714154116,84.6246
ep-4572,CCOC(C)OC,0.5503168970333738,8.064636691,-7.978920844,1.3933
ep-4037,CCC(OC)OC,0.7127498394530171,8.174298552,-7.940280684,8.7979
ep-2430,CCOCC(C)C,0.9923480673083205,8.526958037,-7.681772574,3.5262
ep-4216,CCCOCCC,1.0077964597632376,8.501651453,-7.680684119,2.8045
ep-3941,CCCCOCC,1.0564183306775243,8.491039015,-7.781638339,1.3815
ep-5059,CCOCCOC,0.34103714072454094,8.438248938,-7.743542407,5.0915
ep-4226,CCCOCOC,0.6635220773516308,7.987628485,-8.061643439,1.8673
ep-5280,CCOCOCC,0.6914480934833076,8.037969538,-7.920960604,73.4917
ep-2090,COCC(C)(C)C,1.0639374894890072,8.455392107,-7.779733542,2.5517
ep-2302,CCC(C)COC,1.1128915468543925,8.394438616,-7.833067847,1.2829
ep-2361,COCCC(C)C,1.1059842017545896,8.369948374,-7.814019881,1.3781
ep-3877,CCCCCOC,2.0061894544336516,8.344641791,-7.822999636,1.3723
ep-4149,COCCCOC,0.4231935456276783,8.368043578,-7.770753787,1.8527
ep-5606,COC(OC)OC,0.737142853584947,7.918783694,-8.203686842,4.2862
ep-5701,COCOCOC,0.2573227497840318,7.868442641,-8.183550421,1.6683
ep-6013,CC1(C)CCCO1,0.8533855181633023,7.713609889,-7.497007304,7.4953
ep-6101,CC1(C)COCO1,1.0350904491753918,7.351154307,-8.021370596,4.8862
ep-7324,CC1(C)OCCO1,1.4116191948379673,7.497279418,-8.113617175,1.2516
ep-7868,CC1CCC(C)O1,0.9164641425338327,8.387635771,-7.625172904,3.7641
ep-8044,CC1COC(C)O1,1.0935294245441693,7.808305491,-8.094024981,2.5957
ep-6359,CC1CCOC1C,0.893769107103323,8.087222136,-7.557960795,4.5682
ep-7661,CCC1CCCO1,0.8947614834767285,8.190081152,-7.658098673,3.3453
ep-7852,CC1CCCCO1,0.9521895518383723,8.251850985,-7.663268836,3.4895
ep-8039,CC1COCCO1,1.3096775041148834,7.757148097,-7.971845885,1.0898
ep-6637,CC1COC(C)C1,0.8857952253227026,7.941097025,-7.546532015,5.2835
ep-7523,CC1OCOC1C,1.3891696443263173,7.682588915,-8.018921572,1.4158
ep-7717,CCC1COCO1,1.0984719640373883,7.599322093,-8.123685385,3.6161
ep-7857,CC1CCOCO1,0.6584826097495637,7.704358019,-8.202326273,1.4335
ep-7658,COC1CCCC1,1.1166474438076166,8.181101397,-7.747352,1.3707
ep-7713,COC1CCOC1,0.5908294394193327,8.151713107,-7.79034598,9.1989
ep-9086,CCC1OCCO1,1.1062487000246306,7.816196791,-8.059466528,2.5375
ep-9006,COC1CCCO1,1.1183078513961395,7.914701987,-7.923953856,2.1967
ep-9183,CC1OCCCO1,0.9791348492967652,8.006676451,-7.980281413,9.5803
ep-9335,COC1COCO1,1.099198886754079,7.636057456,-8.276885455,6.6558
ep-9458,CC1OCOCO1,0.9923987587781979,7.25400968,-8.203142615,54.8868
ep-5814,CC1(C)CCOC1,1.0390627149709535,7.971301657,-7.643132414,1.5217
ep-6638,CC1CCCOC1,0.9404483808244515,8.242327002,-7.661091925,4.8807
ep-6327,CC1COCC1C,0.9059594998695581,8.032527262,-7.581362582,4.9064
ep-6535,CCC1CCOC1,1.0288886117624751,8.051847342,-7.615376807,1.5451
ep-6572,CC1CCOCC1,0.9433387158928435,8.36967626,-7.695922492,6.5465
ep-9718,COC1OCCO1,0.7650867622099783,7.380542597,-8.231986678,1.7959
ep-6939,CC1COCOC1,0.9719971939540515,7.837693781,-8.222462695,24.0792
ep-11584,CC(C)OC(C)(C)C,0.8673457560852118,8.268994154,-7.462720965,3.7307
ep-11589,CCOC(C)(C)CC,0.9083552901090537,8.119875792,-7.551974291,3.1324
ep-11595,CCCOC(C)(C)C,0.8942703298988763,8.094841322,-7.559865592,3.56
ep-11611,COCOC(C)(C)C,0.600870140655789,7.413740481,-7.827625571,16.9951
ep-11645,COC(C)(C)C(C)C,0.9650496210742177,8.007764906,-7.585988516,2.4226
ep-11650,CCC(C)(CC)OC,0.9335259232133573,7.957968081,-7.581634696,2.6772
ep-11656,CCCC(C)(C)OC,0.93246148850779,7.862456137,-7.573743395,2.9461
ep-11671,COCC(C)(C)OC,0.908024239815379,7.919872149,-7.730480944,14.4274
ep-11702,CCOC(C)(C)OC,1.1426527870322734,8.041779131,-7.919872149,1.2549
ep-11769,CCC(C)(OC)OC,0.6857625279598984,7.73592322,-7.8755176,1.1845
ep-11917,CCC(C)OC(C)C,0.8390885271983115,8.462194952,-7.517143725,16.5598
ep-11937,COC(C)OC(C)C,0.5994445172326142,7.893204997,-7.84476874,57.8877
ep-11978,CCOC(C)C(C)C,0.885095712377556,8.308722769,-7.560137705,4.3522
ep-11983,CCOC(CC)CC,0.8395761198460381,8.288858462,-7.551702178,15.9468
ep-11989,CCCOC(C)CC,0.923066292502473,8.406683737,-7.604764369,6.874
ep-11995,CCCC(C)OCC,0.9247596328025768,8.28015082,-7.56694055,4.2609
ep-12016,CCOC(C)COC,0.2945235953295666,8.362601302,-7.586532744,11.0709
ep-12060,CC(C)COC(C)C,0.9713210724483765,8.438793166,-7.648030463,2.3284
ep-12065,CCCCOC(C)C,0.8673991664172372,8.315797728,-7.577280875,11.9009
ep-12075,COCCOC(C)C,0.32094698733189686,8.320423663,-7.655105422,13.4587
ep-12130,CCC(C)OCOC,0.9649997657802186,7.701636881,-7.939464343,8.9721
ep-12171,CCOCOC(C)C,0.9015997397098757,7.816741019,-7.858918658,66.7452
ep-12439,COC(C)C(C)(C)C,0.9521747891579816,8.176747576,-7.667078429,2.6636
ep-12442,CCC(OC)C(C)C,0.8995964073558659,8.220830012,-7.634969,7.8878
ep-12448,CCC(C)C(C)OC,0.9651617960492769,8.225183833,-7.666534201,2.9872
ep-12468,COC(C)C(C)OC,0.9527252028834023,8.2836883,-7.775379721,14.1924
ep-12509,CCCC(CC)OC,0.9936599621213512,8.178924487,-7.658642901,3.049
ep-12525,CCC(COC)OC,0.974992344498155,8.296205534,-7.695378264,5.2032
